"term","n_sources","n_definitions","sources_str","definitions_str","hierarchy_paths"
"variability of solar irradiance and gravity oscillations","1","1","Global Change Master Directory (GCMD)","The Variability of solar IRradiance and Gravity Oscillations (VIRGO) is an international collaboration of different European countries. This is a part of the payload of the SOHO spacecraft. SOHO is an international collaboration programme between ESA and NASA. The VIRGO experiment will provide the following observational and derived data: - continuous high-precision, high-stability and high-accuracy measurements of the solar total and spectral irradiance and spectral radiance variation; - continuous measurements of the solar polar and equatorial diameters; - frequencies, amplitudes and phases of oscillation modes in the frequency range of 1 uHz to 8 mHz; The total irradiance is measured with active cavity radiometers (PM06-V and the Dual Irradiance Absolute Radiometer, DIARAD), the spectral irradiance by three-channel Sunphotometers (SPM) and the radiance with 12 resolution elements on the solar disk using the Luminosity Oscillations Imager (LOI). These data will be utilized to achieve the main scientific objectives of VIRGO summarized in the following list: - detect and classify low-degree g modes of solar oscillations; - determine the sound speed, density stratification and rotation in the solar interior, specifically determine the physical and dynamical properties of the solar core; - study the solar atmosphere through comparison of amplitudes and phases of the p modes with these from GOLF (Global Oscillations at Low Frequencies) and SOI/MDI (Solar Oscillation Investigation/Michelson Doppler Imager); - search for the long periodicities or quasiperiodicities that have been found in other solar parameters; - utilize the solar `noise signal to develop models for the global signature of stellar surface parameters; - determine properties of the solar asphericity and its variation in time; - study the relation between p-mode frequency changes and irradiance variations; - study the influence of solar active regions and other large-scale structures on total and spectral irradiance; - study the solar energy budget; - provide accurate total and spectral irradiance data for input in terrestrial climate modelling. Observations of the total solar irradiance will be a continuation of previous measurements from satellites, which have been performed by the radiometer HF of the Earth Radiation Budget experiment (ERB) on the NIMBUS-7 satellite from November 1978 until January 1993 (Hoyt et al 1992), by ACRIM~I on the Solar Maximum Mission satellite (SMM) from February 14, 1980 until June 1, 1989 (e.g. Willson and Hudson 1991), by ACRIM~II on the Upper Atmospheric Research Satellite (UARS) since October 1991 (Willson 1992) and by SOVA (Solar Variability) on the European Retrievable Carrier (EURECA) from August 1992 until May 1993 (Crommelynck et al 1993, Romero et al 1994). For more information, see: http://www.ias.u-psud.fr/virgo/virgomain.html Group: Instrument_Details Entry_ID: VIRGO Group: Instrument_Identification Instrument_Category: Solar/Space Observing Instruments Instrument_Class: Radio Wave Detectors Short_Name: VIRGO Long_Name: Variability of Solar Irradiance and Gravity Oscillations End_Group Group: Associated_Platforms Short_Name: SOHO End_Group Group: Spectral_Frequency_Information Wavelength_Keyword: Ultraviolet Number_Channels: 1 Spectral_Frequency_Coverage_Range: 335 nm End_Group Group: Spectral_Frequency_Information Wavelength_Keyword: Visible Number_Channels: 1 Spectral_Frequency_Coverage_Range: 550 nm End_Group Group: Spectral_Frequency_Information Wavelength_Keyword: Near Infrared Number_Channels: 1 Spectral_Frequency_Coverage_Range: 865 nm End_Group Online_Resource: http://www.ias.u-psud.fr/virgo/ Group: Instrument_Logistics Instrument_Start_Date: 1995-02-12 Instrument_Owner: Institut dAstrophysique Spatiale, Framce End_Group End_Group","['Variability of Solar Irradiance and Gravity Oscillations']"
"stereo waves","1","1","Global Change Master Directory (GCMD)","SWAVES is an interplanetary radio burst tracker that traces the generation and evolution of traveling radio disturbances from the Sun to the orbit of Earth. Principal Investigator Dr. Jean Louis H. Bougeret, Centre National de la Recherche Scientifique, Observatory of Paris, and Co-Investigator Dr. Robert J. Macdowall of Goddard, lead the investigation. Summary provided by http://swaves.gsfc.nasa.gov/ Group: Instrument_Details Entry_ID: SWAVES Group: Instrument_Identification Instrument_Category: Solar/Space Observing Instruments Instrument_Class: Radio Wave Detectors Short_Name: SWAVES Long_Name: STEREO WAVES End_Group Group: Associated_Platforms Short_Name: STEREO B Short_Name: STEREO A End_Group Online_Resource: http://stereo.gsfc.nasa.gov/instruments/instruments.shtml Sample_Image: http://stereo.gsfc.nasa.gov/img/swaves.jpg Creation_Date: 2009-08-05 End_Group","['STEREO WAVES']"
"stereo hi solar wind catalog","1","1","HELIO Ontology","STEREO Heliospheric Imager Solar Wind Transient List","['StereoHISolarWindCatalog']"
"stellar-interstellar interactions","1","0","Unified Astronomy Thesaurus (UAT)","","['Stellar-interstellar interactions']"
"stellar x-ray flares","1","0","Unified Astronomy Thesaurus (UAT)","","['Stellar x-ray flares']"
"stellar winds","1","0","Unified Astronomy Thesaurus (UAT)","","['Stellar winds']"
"stellar wind bubbles","1","0","Unified Astronomy Thesaurus (UAT)","","['Stellar wind bubbles']"
"variable radiation sources","1","0","Unified Astronomy Thesaurus (UAT)","","['Variable radiation sources']"
"stellar processes","1","0","Unified Astronomy Thesaurus (UAT)","","['Stellar processes']"
"veering wind","1","1","Semantic Web for Earth and Environment Technology Ontology","In the Northern Hemisphere, a wind that rotates in a clockwise direction with increasing height; the opposite of backing wind.","['veering wind']"
"stellar oscillations","1","0","Unified Astronomy Thesaurus (UAT)","","['Stellar oscillations']"
"stellar dynamics","1","1","Unified Astronomy Thesaurus (UAT)","The field of astrophysics that describes systems of many point mass particles whose mutual gravitational interactions determine their orbits. These systems include star clusters, globular clusters, and galaxies. Stellar dynamics deals with systems in which each member contributes importantly to the overall gravitational field and is usually concerned with the statistical properties of many orbits. It can be compared to the kinetic theory of gases developed in the late 19th century. In contrast, celestial mechanics deals with systems where the gravitational force of a massive planet or star determines the orbits of its satellites.","['Stellar dynamics']"
"stochastic phenomena","1","0","AGU Index Terms","","['Stochastic phenomena']"
"stellar coronal mass ejections","1","0","Unified Astronomy Thesaurus (UAT)","","['Stellar coronal mass ejections']"
"stellar convection envelopes","1","0","Unified Astronomy Thesaurus (UAT)","","['Stellar convection envelopes']"
"stellar bow shocks","1","0","Unified Astronomy Thesaurus (UAT)","","['Stellar bow shocks']"
"steam blast eruption","1","1","Semantic Web for Earth and Environment Technology Ontology","A series of hundreds of steam explosions preceding an eruption of the volcano A less intense geothermal event may result in a mud volcano. In 1949, Thomas Jaggar described this kind of activity as steam-blast eruptions. [Wikipedia]","['steam blast eruption']"
"startiform_precipitation","1","0","Global Change Master Directory (GCMD)","","['startiform_precipitation']"
"ventifacts","1","1","GCMD","Rocks that have been abraded, pitted, etched, grooved, or polished by wind-driven sand or ice crystals. These geomorphic features are most typically found in arid environments where there is little vegetation to interfere with aeolian particle transport, where there are frequently strong winds, and where there is a steady but not overwhelming supply of sand.","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> AEOLIAN PROCESSES -> ABRASION -> VENTIFACTS']"
"starburst galaxies","1","1","Unified Astronomy Thesaurus (UAT)","A galaxy showing a short-lived intense period of star formation that is unsustainable over the Hubble time due to the limited supply of gas within a galaxy. Starburst galaxies were first classified by Searle & Sargent (1972) and Searle et al. (1973), based on the blue colors produced by the massive stars formed during the burst. In the local Universe, starbursts create approximately 10% of the radiant energy and 20% of the massive stars. At z = 1, starburst characteristics are found in 15% of galaxies, presumably attributable to the greater amounts of gas typically present in young galaxies and increased galactic interactions. The starburst's impact on a galaxy and the surrounding intergalactic medium is primarily due to the consumption of gas that fuels the burst and the feedback from massive stars formed in the burst.","['Starburst galaxies']"
"star-planet interactions","1","0","Unified Astronomy Thesaurus (UAT)","","['Star-planet interactions']"
"vertical current shear","1","1","GCMD","The vertical derivative of current speed with depth in water. This is analogous to the “VERTICAL WIND SHEAR” keyword.","['EARTH SCIENCE -> OCEANS -> OCEAN CIRCULATION -> OCEAN CURRENTS -> VERTICAL CURRENT SHEAR']"
"star dune","1","1","GCMD","Radially symmetrical, star dunes are pyramidal sand mounds with slipfaces on three or more arms that radiate from the high center of the mound. They tend to accumulate in areas with multidirectional wind regimes. Star dunes grow upward rather than laterally. They dominate the Grand Erg Oriental of the Sahara. In other deserts, they occur around the margins of the sand seas, particularly near topographic barriers. In the southeast Badain Jaran Desert of China, the star dunes are up to 500 metres tall and may be the tallest dunes on Earth.","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> AEOLIAN LANDFORMS -> DUNES -> STAR DUNE']"
"stage height","1","1","GCMD","The elevation of the water level of a lake, river, stream or other body of water above a common datum.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> SURFACE WATER -> SURFACE WATER PROCESSES/MEASUREMENTS -> STAGE HEIGHT']"
"virga","1","1","GCMD","(Also called Fallstreifen, fallstreaks, precipitation trails.) Wisps or streaks of water or ice particles falling out of a cloud but evaporating before reaching the earth's surface as precipitation.","['EARTH SCIENCE -> ATMOSPHERE -> PRECIPITATION -> VIRGA']"
"stability/severe weather indices","1","0","GCMD","","['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> Stability/Severe Weather Indices']"
"visible imagery","1","1","GCMD","A reproduction of an object by imaging the visible radiation coming from the object or reflected by the object.","['EARTH SCIENCE -> SPECTRAL/ENGINEERING -> VISIBLE WAVELENGTHS -> VISIBLE IMAGERY']"
"sterilisation (process)","1","1","GEMET","An act or process of destroying all forms of microbial life on and in an object.","['sterilisation (process)']"
"valley breezes","1","1","GCMD","(Or valley breeze.) A wind that ascends a mountain valley (upvalley wind) during the day; the daytime component of a mountain–valley wind system.","['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WINDS -> LOCAL WINDS -> OROGRAPHIC WINDS -> VALLEY BREEZES']"
"usda uv-b radiation monitoring program","1","1","Global Change Master Directory (GCMD)","The USDA UV-B Monitoring and Research Program is a program of the US Department of Agricultures Cooperative State Research, Education and Extension Service (CSREES). The program was initiated in 1992, through a grant to Colorado State University, to provide information on the geographical distribution and temporal trends of UVB (ultraviolet -B) radiation in the United States. This information is critical to the assessment of the potential impacts of increasing ultraviolet radiation levels on agricultural crops and forests. This program provides: 1. information to the agricultural community and others about the climatological and geographical distribution of UVB irradiance; 2. basic information necessary to support evaluations of the potential damage effects of UVB to agricultural crops and forests; 3. ground truth for satellite measurements and basic information for radiation transfer model calculations; 4. long-term records of UVB irradiance necessary to assess trends; Contact Information: Dr. James R. Slusser, Program Director Phone: (970) 491-3623 E-mail: sluss&#64uvb.nrel.colostate.edu Mailing Address: USDA UVB Radiation Monitoring Program Natural Resource Ecology Laboratory Colorado State University Fort Collins, CO 80523 Website: http://uvb.nrel.colostate.edu/UVB/home_page.html [Summary provided by Colorado State University]","['USDA UV-B Radiation Monitoring Program']"
