term,has_definition,has_taxonomy,term_only_uri_presence,uri_only_sources,definitions_and_fallback_hierarchy,definitions_count,taxonomy_paths_count,sources,sources_count,embedding_text,sssom_source_pairs
theoretical modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,theoretical modeling,
theory,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,theory,
thermal expansivity,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,thermal expansivity,
thermal regime,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,thermal regime,
thermobarometry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,thermobarometry,
thermochronology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,thermochronology,
thermohaline,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,thermohaline,
thermokarst,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,thermokarst,
thermosphere: composition and chemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,thermosphere: composition and chemistry,
thermosphere: energy deposition,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,thermosphere: energy deposition,
thermospheric dynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,thermospheric dynamics,
tidal forces,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tidal forces,
tides and planetary waves,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tides and planetary waves,
time series analysis,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,time series analysis,
time series experiments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,time series experiments,
time variable gravity,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,time variable gravity,
time variations: diurnal to decadal,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,time variations: diurnal to decadal,
time variations: secular and longer,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,time variations: secular and longer,
tomography,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tomography,
tomography and imaging,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tomography and imaging,
topographic/bathymetric interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,topographic/bathymetric interactions,
topside ionosphere,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,topside ionosphere,
tori and exospheres,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tori and exospheres,
trace element cycling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,trace element cycling,
trace gases,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,trace gases,
trans-neptunian objects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,trans-neptunian objects,
transform faults,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,transform faults,
transient and time domain,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,transient and time domain,
transient deformation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,transient deformation,
transport processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,transport processes,
transport properties,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,transport properties,
triassic,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,triassic,
tropical convection,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tropical convection,
tropical dynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tropical dynamics,
tropical meteorology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tropical meteorology,
tropopause dynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tropopause dynamics,
troposphere: composition and chemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,troposphere: composition and chemistry,
troposphere: constituent transport and chemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,troposphere: constituent transport and chemistry,
tsunamis and storm surges,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,tsunamis and storm surges,
"turbulence, diffusion, and mixing processes",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"turbulence, diffusion, and mixing processes",
ultra-high pressure metamorphism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ultra-high pressure metamorphism,
ultra-high temperature metamorphism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ultra-high temperature metamorphism,
ultraviolet emissions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ultraviolet emissions,
uncertainty assessment,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,uncertainty assessment,
uncertainty quantification,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,uncertainty quantification,
ungaged basins,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ungaged basins,
upper ocean and mixed layer processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,upper ocean and mixed layer processes,
upwelling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,upwelling,
upwelling and convergences,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,upwelling and convergences,
uranian satellites,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,uranian satellites,
urban systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,urban systems,
vadose zone,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,vadose zone,
vector born diseases,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,vector born diseases,
virtual globes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,virtual globes,
visualization and portrayal,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,visualization and portrayal,
volcanic arcs,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,volcanic arcs,
volcanic effects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,volcanic effects,
volcanic hazards and risks,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,volcanic hazards and risks,
volcano monitoring,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,volcano monitoring,
volcano seismology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,volcano seismology,
volcano/climate interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,volcano/climate interactions,
volcanoclastic deposits,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,volcanoclastic deposits,
"volcanology, geochemistry, and petrology",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"volcanology, geochemistry, and petrology",
vulnerability,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,vulnerability,
water budgets,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,water budgets,
water cycles,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,water cycles,
water/energy interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,water/energy interactions,
wave attenuation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,wave attenuation,
wave/particle interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,wave/particle interactions,
wave/wave interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,wave/wave interactions,
wavelet transform,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,wavelet transform,
waves in plasma,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,waves in plasma,
western boundary currents,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,western boundary currents,
wildland fire model,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,wildland fire model,
workflow,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,workflow,
workforce,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,workforce,
"x-ray, neutron, and electron spectroscopy and diffraction",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"x-ray, neutron, and electron spectroscopy and diffraction",
"x-rays, gamma rays, and neutrinos",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"x-rays, gamma rays, and neutrinos",
